id,name,sex,age,staffel,fans,type
MS,Martin Stosch,1,2,4,NA,1
deinechance,Show,NA,NA,NA,NA,0
LB,Lisa Bund,2,3,4,3,1
gutezeitenschlechtezeiten,Soap,NA,NA,NA,NA,0
rpr1,Radio,NA,NA,NA,NA,0
TG,Thomas Godoj,1,4,5,3,1
richtungg,weiteres Album,NA,NA,NA,NA,0
sogewollt,weiteres Album,NA,NA,NA,NA,0
liveausmpott,weiteres Album,NA,NA,NA,NA,0
männersindso,weiteres Album,NA,NA,NA,NA,0
v,weiteres Album,NA,NA,NA,NA,0
vstärkeraus,weiteres Album,NA,NA,NA,NA,0
mundwerk,weiteres Album,NA,NA,NA,NA,0
13pfeile,weiteres Album,NA,NA,NA,NA,0
carlsenverlag,Verlag,NA,NA,NA,3,0
vstärkerausshow,Eigene Sendung,NA,NA,NA,NA,0
tomzilla,Eigenes Musiklabel,NA,NA,NA,NA,0
FA,Fady Maalouf,1,3,5,2,1
columbiarecords,Musiklabel,NA,NA,NA,4,0
intothelight,weiteres Album,NA,NA,NA,NA,0
indigo,weiteres Album,NA,NA,NA,NA,0
wennesumunsstillwird,Single,NA,NA,NA,NA,0
LT,Linda Teodosiu,2,2,5,NA,1
alarmfürcobra11,Sendung,NA,NA,NA,NA,0
rennschweinrudirüssel,Sendung,NA,NA,NA,NA,0
thewinneris,Show,NA,NA,NA,NA,0
promishoppingqueen,Show,NA,NA,NA,NA,0
petermaffayband,Band,NA,NA,NA,NA,0
tabaluga,Show,NA,NA,NA,NA,0
fullstop,weiteres Album,NA,NA,NA,NA,0
vorentscheidesc,Song Contest,NA,NA,NA,NA,0
DS,Daniel Schuhmacher,1,3,6,3,1
werwirdmillionär,Show,NA,NA,NA,NA,0
viva,Show,NA,NA,NA,NA,0
johannesbkerner,Show,NA,NA,NA,NA,0
csidentäternaufderspur,Show,NA,NA,NA,NA,0
nothingtolose,weiteres Album,NA,NA,NA,NA,0
losemyselfinthemusic,DVD,NA,NA,NA,NA,0
diversity,weiteres Album,NA,NA,NA,NA,0
youwantit,weiteres Album,NA,NA,NA,NA,0
losecontrol,Single,NA,NA,NA,NA,0
SK,Sarah Kreuz,2,2,6,2,1
313music,Plattenvertrag,NA,NA,Na,NA,0
bayerischersportpreis,Verleihung,NA,NA,NA,NA,0
AE,Annemarie Eilfeld,2,2,6,3,1
thedome,Musikshow,NA,NA,NA,NA,0
ottokatalog,Modezeitschrift,NA,NA,NA,NA,0
artistadvice,Vertrag,NA,NA,NA,NA,0
kristinabach,Plattenvertrag,NA,NA,NA,NA,0
taff,Show,NA,NA,NA,NA,0
radiopaloma,Radio,NA,NA,NA,NA,0
palmrecords/sonymusic,Plattenvertrag,NA,NA,NA,NA,0
barfußdurchberlin,weiteres Album,NA,NA,NA,NA,0
neonlicht,weiteres Album,NA,NA,NA,NA,0
radiob2,Radio,NA,NA,NA,NA,0
vomgeistderweihnacht,Musical,NA,NA,NA,NA,0
schlagerbereich,Schlagerbereich,NA,NA,NA,NA,0
mehrzadsartofdance,eigene Tanzschule,NA,NA,NA,NA,0
pobo44,eigenes Tonstudio,NA,NA,NA,NA,0
changeup,weiteres Album,NA,NA,NA,NA,0
m8,eigenes Label,NA,NA,NA,NA,0
entfesseltundfrei,weiteres Album,NA,NA,NA,NA,0
MF,Menowin Fröhlich,1,3,7,4,1
richardlugner,Produzent,NA,NA,NA,NA,0
völkerballmeisterschaft,Show,NA,NA,NA,NA,0
bewährungsstrafe,Bewährungsstrafe,NA,NA,NA,NA,0
haft,Haftstrafe,NA,NA,NA,NA,0
MH,Manuel Hoffmann,1,2,7,3,1
theunited,Band,NA,NA,NA,NA,0
pietrostyle,weiteres Album,NA,NA,NA,NA,0
dreamteam,weiteres Album,NA,NA,NA,NA,0
clashboombang,Show,NA,NA,NA,NA,0
dervipbus,Show,NA,NA,NA,NA,0
familienduell,Show,NA,NA,NA,NA,0
tvtotalturmspringen,Show,NA,NA,NA,NA,0
sarahpietro...,Eigene Sendung,NA,NA,NA,NA,0
grilldenhenssler,Show,NA,NA,NA,NA,0
globalgladiators,Show,NA,NA,NA,NA,0
teilvonmir,weiteres Album,NA,NA,NA,NA,0
heldenpapaimkrümelchaos,Buch,NA,NA,NA,NA,0
senorita,Single,NA,NA,NA,NA,0
SL,Sarah Lombardi,2,2,8,6,1
starrace,Show,NA,NA,NA,NA,0
dasgroßepromibacken,Show,NA,NA,NA,NA,0
zurückzumir,weiteres Album,NA,NA,NA,NA,0
fortboyard,Show,NA,NA,NA,NA,0
ninjawarriorgermany,Show,NA,NA,NA,NA,0
dancingonice,Show,NA,NA,NA,NA,0
curvysupermodeldasmagazin,Show,NA,NA,NA,NA,0
sarahdasgroßeinterview,Interview Sendung,NA,NA,NA,NA,0
schlagdenstar,Show,NA,NA,NA,NA,0
AB,Ardian Bujupi,1,2,8,5,1
firstlovemusic,Vertrag,NA,NA,NA,NA,0
famefabrik,Vertrag,NA,NA,NA,NA,0
grooveattackvertrag,Vertrag,NA,NA,NA,NA,0
festivaliikenges,Musikshow,NA,NA,NA,NA,0
ardicted,weiteres Album,NA,NA,NA,NA,0
hoba,eigenes Modelabel,NA,NA,NA,NA,0
melodia,weiteres Album,NA,NA,NA,NA,0
florist,Anderes,NA,NA,NA,NA,0
mynameis,Show,NA,NA,NA,NA,0
takeyourchance,Show,NA,NA,NA,NA,0
connectingmindsmusic,Vertrag,NA,NA,NA,NA,0
systemgastronomie,Anderes,NA,NA,NA,NA,0
fastfoodkette,Anderes,NA,NA,NA,NA,0
hitradiortlsachsen,Anderes,NA,NA,NA,NA,0
duschdichzumsuperstar,Buch,NA,NA,NA,NA,0
eurovisionsongcontest,Show,NA,NA,NA,NA,0
7music,Vertrag,NA,NA,NA,NA,0
diegeissens,Show,NA,NA,NA,NA,0
circus,Anderes,NA,NA,NA,NA,0
h2ustudios,Anderes,NA,NA,NA,NA,0
theacoustivalbum,weiteres Album,NA,NA,NA,NA,0
grooveattack,weiteres Album,NA,NA,NA,NA,0
secretoflive,weiteres Album,NA,NA,NA,NA,0
bulletproof,weiteres Album,NA,NA,NA,NA,0
breathing,weiteres Album,NA,NA,NA,NA,0
napsterfanpreis,Anderes,NA,NA,NA,NA,0
echo,Anderes,NA,NA,NA,NA,0
goldenerpinguin,Anderes,NA,NA,NA,NA,0
dudemusikmagazinpreis,Anderes,NA,NA,NA,NA,0
nickelodeonkindschoiceawards,Anderes,NA,NA,NA,NA,0
bravootto,Anderes,NA,NA,NA,NA,0
cashcrash,Show,NA,NA,NA,NA,0
wokwm,Show,NA,NA,NA,NA,0
köln50667,Show,NA,NA,NA,NA,0
lassdichüberwachendieprismisadancershow,Show,NA,NA,NA,NA,0
lukediewocheundich,Show,NA,NA,NA,NA,0
negroniliveundcrazy,Anderes,NA,NA,NA,NA,0
thankyoutothefans,Anderes,NA,NA,NA,NA,0
dsdsliveontour,Anderes,NA,NA,NA,NA,0
subsidiumev,Anderes,NA,NA,NA,NA,0
justme,Anderes,NA,NA,NA,NA,0
unteruns,Show,NA,NA,NA,NA,0
festedervolksmusik,Show,NA,NA,NA,NA,0
willkommenbeicarmennebel,Show,NA,NA,NA,NA,0
riverboat,Show,NA,NA,NA,NA,0
diegoldenehenne,Show,NA,NA,NA,NA,0
zimmerfrei,Show,NA,NA,NA,NA,0
meineschlagerweltdiepartymitrossantony,Show,NA,NA,NA,NA,0
einfruehlingstaginrom,Show,NA,NA,NA,NA,0
meineschweizmeinemusik,Show,NA,NA,NA,NA,0
diegrosseshowdertraeume,Show,NA,NA,NA,NA,0
einherbsttaginstockholm,Show,NA,NA,NA,NA,0
vollekanne,Show,NA,NA,NA,NA,0
einfruehlingstaginvenedig,Show,NA,NA,NA,NA,0
fragdochmaldiemaus,Show,NA,NA,NA,NA,0
musikfuersie,Show,NA,NA,NA,NA,0
markuslanz,Show,NA,NA,NA,NA,0
einherbsttaginwien,Show,NA,NA,NA,NA,0
schlagereinerstadt,Show,NA,NA,NA,NA,0
bettinaundbommes,Show,NA,NA,NA,NA,0
wenndiemusispielt,Show,NA,NA,NA,NA,0
schlagerundmeer,Show,NA,NA,NA,NA,0
schlagerimschnee,Show,NA,NA,NA,NA,0
mdrum4,Show,NA,NA,NA,NA,0
einfruehlingstaginderschweiz,Show,NA,NA,NA,NA,0
dieterbohlendiemegashow,Show,NA,NA,NA,NA,0
schlagerammeer,Show,NA,NA,NA,NA,0
klubbb3,Show,NA,NA,NA,NA,0
sturmderliebe,Show,NA,NA,NA,NA,0
genialdaneben,Show,NA,NA,NA,NA,0
prixwalo,Anderes,NA,NA,NA,NA,0
swissmusicaward,Anderes,NA,NA,NA,NA,0
smago,Anderes,NA,NA,NA,NA,0
feuerundflamme,weiteres Album,NA,NA,NA,NA,0
gluecksgefuehle,weiteres Album,NA,NA,NA,NA,0
purelebensfreude,weiteres Album,NA,NA,NA,NA,0
bishierherundvielweiter,weiteres Album,NA,NA,NA,NA,0
klickimaugenblick,weiteres Album,NA,NA,NA,NA,0
wohlfuehlgarantie,weiteres Album,NA,NA,NA,NA,0
sagmirwowohnendieengel,weiteres Album,NA,NA,NA,NA,0
wennderhimmelessowill,weiteres Album,NA,NA,NA,NA,0
wildandyoungaward,Anderes,NA,NA,NA,NA,0
gloryaward,Anderes,NA,NA,NA,NA,0
styleaward,Anderes,NA,NA,NA,NA,0
