from,to,relationship,time
LH,ltdt,12,2013
LH,whenwakeuptour,12,2015
LH,werwirdmilli,12,2012
LH,bth,6,2012
LH,wok,4,2013
LH,dbdad,8,2013
LH,sana,10,2013
LH,dkms,12,2013
LH,emble,12,2014
LH,kadeo,1,2014
LH,mebot,12,2016
LH,sig,12,2016
LH,eurosc,6,2017
LH,ddd,1,2016
LT,sbmgme,5,2008
LT,afc,8,2009
LT,rsrr,8,2008
LT,dppd,4,2009
LT,thwiis,2,2012
LT,psq,4,2015
LT,pmb,10,2013
LT,talu,10,2016
LT,fusto,10,2017
LT,voesc,4,2019
LVDE,aca,1,2017
LVDE,wennbrennt,10,2017
LVDE,tbolam,10,2018
LVDE,mcber,5,2018
LW,hiradio,12,2014
LW,willi,8,2013
LW,ddzs,9,2015
MA,syga,12,2014
MF,dsds,4,2005
MF,rilug,5,2010
MF,pbb,2,2015
MF,vbms,4,2016
MF,bs,12,2011
MF,hat,12,2017
MH,thun,10,2010
MH,hat,12,2018
MLG,tart,8,2006
MLG,aac,12,2009
MLG,flasam,12,2010
MLG,ffn,6,2011
MLG,textiune,12,2012
MM,leda,10,2007
MM,wettda,12,2007
MM,dreca,10,2007
MM,ehrl,9,2007
MM,clda,10,2008
MM,disifi,12,2008
MM,cltr,10,2009
MM,rabe,10,2010
MM,MMA,10,2010
MM,mwor,10,2012
MM,bfr,12,2013
MM,ineb,10,2014
MM,zwiwel,10,2017
MMA,sbmgme,5,2010
MMA,tdom,6,2010
MMA,maod,12,2011
MMA,pbo,12,2011
MMA,cup,10,2011
MMA,m8,12,2012
MMA,euf,10,2014
MS,dech,4,2008
MS,rcast,10,2008
MS,merchr,10,2008
MS,dppd,4,2009
PB,luso,5,2006
PB,wahrheit,10,2007
PB,bis,11,2007
PB,hiuhu,10,2007
PB,jbo,11,2008
PB,wilson,11,2008
PB,kaon,11,2010
PB,dsds,12,2015
PB,PL,11,2019
PDR,unimusi,5,2016
PDR,sig,8,2016
PDR,zdffern,4,2016
PDR,leda,10,2016
PDR,puhy,4,2016
PDR,iws,4,2016
PDR,tiencl,10,2016
PDR,ducs,4,2016
PDR,schlcou,4,2016
PDR,ddd,4,2017
PL,sbmgme,5,2011
PL,dsds,12,2019
PL,piest,10,2011
PL,drete,10,2013
PL,cbb,4,2013
PL,dvb,4,2013
PL,famdu,4,2014
PL,tvtt,4,2014
PL,sapi,12,2015
PL,sapi,12,2015
PL,sapi,12,2016
PL,sapi,12,2016
PL,gdh,4,2017
PL,glgl,4,2017
PL,tevom,10,2016
PL,hpikc,9,2018
PL,senri,10,2017
RB,fafoket,12,2013
SK,mus,5,99
SK,unimusi,5,99
SK,werwirdmilli,4,2009
SK,via,4,2009
SK,jbk,4,2009
SK,bss,10,2009
SK,csidtads,12,2009
SL,dsds,4,2009
SL,dsds,4,2010
SL,strr,4,2012
SL,drete,10,2013
SL,cbb,4,2013
SL,dvb,4,2013
SL,famdu,4,2014
SL,tevom,10,2016
SL,sapi,12,2015
SL,sapi,12,2015
SL,sapi,12,2016
SL,sapi,12,2016
SL,leda,2,2016
SL,gdh,4,2017
SL,psq,4,2017
SL,dgpb,1,2018
SL,zuzumi,10,2018
SL,foboy,4,2018
SL,nwg,4,2018
SL,doi,1,2019
SL,csdm,6,2018
SL,sdgi,12,2017
SL,sds,4,2018
SS,susidi,12,2016
SS,unimusi,5,2015
TG,sbmgme,5,2008
TG,rigg,10,2009
TG,sgew,10,2011
TG,laupo,10,2012
TG,mass,10,2013
TG,val,10,2014
TG,vstau,10,2015
TG,muwe,10,2016
TG,pfei,10,2018
TG,cave,12,2013
TG,vstaush,6,2013
TG,tozi,12,2015
TR,strig,10,2007
TR,radbo,6,2010
TR,kuus,10,2010
TR,aku,10,2011
TR,bj,10,2013
TR,gikurs,7,2013
TR,trhs,8,2014
VG,dst,3,2007
VG,mni,4,2012
VJD,recallstars,10,2008
VJD,merchr,10,2008
LH,hwm,12,99
