from,to,relationship,time
AB,filomu,5,2011
AB,famfab,5,2011
AB,groattve,5,2011
AB,leda,4,2012
AB,festii,10,2012
AB,ardi,10,2015
AB,hoa,12,2015
AB,meldia,10,2017
AE,tdom,6,2009
AE,otka,12,2009
AE,gzsz,8,2009
AE,artis,5,99
AE,kriba,5,2010
AE,dppd,4,2010
AE,afc,8,2010
AE,psq,4,2014
AE,tff,4,2016
AE,radpalo,6,2011
AE,prsm,5,99
AE,bdb,10,2013
AE,neoli,10,2015
AE,radb,6,99
AE,vogdw,8,2015
AE,vogdw,8,2016
AE,schbe,11,99
AG,flist,12,2014
AJ,grse,8,2017
AK,sbmgme,5,2003
AK,worldi,4,2003
AK,tdv,8,2008
AK,taza,8,2010
AK,bomg,8,2012
AK,sanfe,8,2016
AK,taza,8,2016
AK,gnvs,8,2018
AK,jsc,8,2014
AK,dsdm,8,2013
AK,audl,8,2008
AK,golschl,6,2013
AK,disic,10,2016
AK,leda,1,2014
AS,dslot,4,2014
AS,jume,10,2014
AS,eurosc,4,2017
AW,unimusi,5,2017
AW,leda,10,2017
AW,zdffern,4,2017
AW,pbb,4,2018
BE,unimusi,5,2013
BE,dst,4,2013
BE,uus,4,2013
BE,fdvo,4,2013
BE,willkommen,4,2013
BE,zdffern,4,2013
BE,iws,4,2013
BE,riboa,4,2013
BE,dgh,4,2014
BE,zifrei,4,2015
BE,mswdpmra,4,2015
BE,eftir,6,2015
BE,msmm,12,2015
BE,dgsdt,6,2015
BE,ehtis,6,2015
BE,voke,4,2016
BE,eftiv,6,2016
BE,fdmdm,4,2016
BE,mufusi,4,2016
BE,mala,4,2016
BE,ehtiw,12,2016
BE,schles,4,2016
BE,bub,4,2016
BE,wennmusispielt,4,2017
BE,schlum,4,2017
BE,schlisch,4,2017
BE,mduv,4,2017
BE,kliia,12,2017
BE,eftids,6,2017
BE,dbdms,4,2017
BE,sam,4,2017
BE,wenndiemusispielt,4,2018
BE,kbbb,4,2018
BE,sdl,12,2018
BE,geda,4,2018
BE,eco,1,2014
BE,priwa,1,2014
BE,swmuaw,1,2015
BE,swmuaw,1,2017
BE,smgo,1,2017
BE,smgo,1,2019
BE,fuf,10,2011
BE,glgef,10,2013
BE,pule,10,2013
BE,bhuvw,10,2014
BE,kliia,10,2016
BE,wohl,10,2018
BE,smwwde,10,2007
BE,wennhimmelwill,10,2008
DC,tyc,6,2015
DC,cmm,5,2016
DK,dschuca,3,2004
DK,ddz,8,2004
DK,bigb,4,2005
DK,daf,6,2008
DK,dppd,4,2010
DK,kbtn,6,2010
DK,leda,4,2014
DK,vnf,8,2016
DN,bulpr,10,2013
DN,breath,10,2018
DN,nfp,1,2012
DN,eco,4,2013
DN,golping,1,2013
DN,ddmp,1,2013
DN,nkca,4,2013
DN,brot,1,2013
DN,brot,1,2014
DN,nfp,4,2013
DN,nkca,4,2014
DN,cacr,4,2013
DN,wok,4,2014
DN,wok,4,2015
DN,koln,4,2016
DN,dschuca,2,2018
DN,dppd,4,2018
DN,ldue,4,2018
DN,ludwui,4,2018
DN,unimusi,5,2012
DN,neliuc,10,2012
DN,tyttf,10,2013
DN,dslot,10,2014
DS,dsds,4,2008
DS,sbmgme,5,2009
DS,werwirdmilli,4,2009
DS,via,4,2009
DS,johannesbkerner,4,2009
DS,csidtads,12,2009
DS,notolo,10,2010
DS,lomitmu,12,2012
DS,disity,10,2013
DS,youwant,10,2016
DS,loco,10,2014
DT,hafra,12,99
EE,movo,10,2007
EE,rec,9,2008
EE,huan,10,2009
EE,gestet,9,2011
EE,muleh,7,2015
EE,lomesi,4,2016
FA,core,5,2008
FA,inttl,10,2010
FA,ingo,10,2017
FA,weumstill,10,2013
JR,eurosc,4,2013
JR,musi,5,2013
JR,digei,4,2013
JR,circ,10,2014
JR,hstud,12,2015
JR,taa,10,2013
JR,groatt,10,2014
JR,sol,10,2017
JS,daf,6,2008
JS,sbmgme,5,2003
JS,dst,4,2012
JS,voco,7,2018
JS,maks,7,2013
LB,gzsz,8,2007
LB,dschuca,4,2008
LB,dppd,4,2008
LB,ducs,12,2009
LB,rpr1,6,2008
LB,dppd,4,2011
LB,bigb,4,2011
LH,wild,1,2012
LH,glaw,1,2012
LH,brot,2,2012
LH,swmuaw,1,2013
LH,swmuaw,4,2014
LH,nkca,1,2013
LH,nkca,1,2014
LH,eco,4,2013
LH,staw,1,2014
LH,nfp,4,2013
LH,brot,3,2014
LH,alca,1,2016
LH,hmima,1,2015
LH,prixwalo,1,2013
LH,mnil,10,2012
LH,ltd,10,2013
LH,duwd,10,2014
LH,whenwakeup,10,2015
LH,eurosc,4,2019
LH,lhudb,12,2012
LH,tyttf,12,2013
