id,name,sex,age,staffel,fans,type
hollywoodmusicinmediaawards,Anderes,NA,NA,NA,NA,0
immerwiedersonntags,Fernsehsendung,NA,NA,NA,3,0
imnebel,weiteres Album,NA,NA,NA,NA,0
indigo,weiteres Album,NA,NA,NA,NA,0
intothelight,weiteres Album,NA,NA,NA,NA,0
jimmiblueochsenknecht,Saenger,1,2,NA,3,1
johannesbkerner,Show,NA,NA,NA,NA,0
JR,Jesse Ritch,1,2,9,3,1
JS,Juliette Schoppmann,2,3,1,3,1
justme,Anderes,NA,NA,NA,NA,0
kampfderorchester,Show,NA,NA,NA,NA,0
kayone,Rapper,1,3,NA,7,1
klickimaugenblick,weiteres Album,NA,NA,NA,NA,0
klubbb3,Show,NA,NA,NA,NA,0
koeln50667,Show,NA,NA,NA,NA,0
kristinabach,Plattenvertrag,NA,NA,NA,NA,0
kueblboecktalknight,Eigene Sendung,NA,NA,NA,NA,0
kurzunsterblich,weiteres Album,NA,NA,NA,NA,0
lassdichueberwachendieprismisadancershow,Show,NA,NA,NA,NA,0
LB,Lisa Bund,2,3,4,3,1
letsdance,Let's Dance,NA,NA,NA,4,0
LH,Luca Haenni,1,2,9,4,1
liveausmpott,weiteres Album,NA,NA,NA,NA,0
livinghtedream,weiteres Album,NA,NA,NA,NA,0
livingthedreamtour,Anderes,NA,NA,NA,NA,0
losecontrol,Single,NA,NA,NA,NA,0
losemyselfinthemusic,DVD,NA,NA,NA,NA,0
lossmersinge,Show,NA,NA,NA,NA,0
LT,Linda Teodosiu,2,2,5,NA,1
lucahaenniundband,Anderes,NA,NA,NA,NA,0
luckysong,Plattenvertrag,NA,NA,NA,NA,0
lukediewocheundich,Show,NA,NA,NA,NA,0
LVDE,Laura van den Elzen,2,2,13,4,1
LW,Lisa Wohlgemuth,2,2,10,4,1
m8,eigenes Label,NA,NA,NA,NA,0
MA,Meltem Acikgoez,1,2,11,1,1
maennersindso,weiteres Album,NA,NA,NA,NA,0
markuslanz,Show,NA,NA,NA,NA,0
mcsberlin,Agentur,NA,NA,NA,1,0
mdrum4,Show,NA,NA,NA,NA,0
mehrzadsartofdance,eigene Tanzschule,NA,NA,NA,NA,0
meineschlagerweltdiepartymitrossantony,Show,NA,NA,NA,NA,0
meineschweizmeinemusik,Show,NA,NA,NA,NA,0
melodia,weiteres Album,NA,NA,NA,NA,0
merrychristmas,weiteres Album,NA,NA,NA,NA,0
metroboutique,Anderes,NA,NA,NA,NA,0
MF,Menowin Froehlich,1,3,7,4,1
MH,Manuel Hoffmann,1,2,7,3,1
MLG,Mike Leon Grosch,1,4,3,2,1
MM,Mark Medlock,1,4,4,1,1
MMA,Mehrzad Marashi,1,3,7,4,1
MR,Michael Rauscher,1,1,15,2,1
MS,Martin Stosch,1,2,4,NA,1
MT,Michel Truog,1,2,15,2,1
mundwerk,weiteres Album,NA,NA,NA,NA,0
musicacademykoelnsued,Lehrkraft,NA,NA,NA,1,0
musical,Musical,NA,NA,NA,NA,0
musikfuersie,Show,NA,NA,NA,NA,0
musiklehrerin,Lehrkraft,NA,NA,NA,NA,0
MV,Maria Voskania,2,3,14,3,1
MW,Marie Wegener,2,1,15,3,1
mynameis,Show,NA,NA,NA,NA,0
mynameisluca,weiteres Album,NA,NA,NA,NA,0
myworld,weiteres Album,NA,NA,NA,NA,0
napsterfanpreis,Anderes,NA,NA,NA,NA,0
negroniliveundcrazy,Anderes,NA,NA,NA,NA,0
neonlicht,weiteres Album,NA,NA,NA,NA,0
nickelodeonkidschoiceawards,Anderes,NA,NA,NA,NA,0
ninjawarriorgermany,Show,NA,NA,NA,NA,0
nothingtolose,weiteres Album,NA,NA,NA,NA,0
ottokatalog,Modezeitschrift,NA,NA,NA,NA,0
palmrecords/sonymusic,Plattenvertrag,NA,NA,NA,NA,0
PB,Philippe Buehler,1,3,2,NA,1
PDR                                                                                                                                                          ,Prince Damien Ritzinger,1,2,13,4,1
petermaffayband,Band,NA,NA,NA,NA,0
pietrostyle,weiteres Album,NA,NA,NA,NA,0
PL,Pietro Lombardi,1,2,8,6,1
pobo44,eigenes Tonstudio,NA,NA,NA,NA,0
prixwalo,Anderes,NA,NA,NA,NA,0
promibigbrother,Promi Big Brother,NA,NA,NA,5,0
promishoppingqueen,Show,NA,NA,NA,NA,0
promisunterhypnose,Fernsehsendung,NA,NA,NA,NA,0
purelebensfreude,weiteres Album,NA,NA,NA,NA,0
radiob2,Radio,NA,NA,NA,NA,0
radiobob,Radio,NA,NA,NA,NA,0
radiopaloma,Radio,NA,NA,NA,NA,0
rainbowsend,weiteres Album,NA,NA,NA,NA,0
RB,Ricardo Bielecki,1,2,10,4,1
recallstars,Band,NA,NA,NA,NA,0
rennschweinrudiruessel,Sendung,NA,NA,NA,NA,0
richardlugner,Produzent,NA,NA,NA,NA,0
richtungg,weiteres Album,NA,NA,NA,NA,0
riverboat,Show,NA,NA,NA,NA,0
rpr1,Radio,NA,NA,NA,NA,0
sagmirwowohnendieengel,weiteres Album,NA,NA,NA,NA,0
saltonatale,Zirkus,NA,NA,NA,NA,0
sarahdasgroßeinterview,Interview Sendung,NA,NA,NA,NA,0
sarahpietro...,Eigene Sendung,NA,NA,NA,NA,0
schlagdenstar,Show,NA,NA,NA,NA,0
schlagerammeer,Show,NA,NA,NA,NA,0
schlagerbereich,Schlagerbereich,NA,NA,NA,NA,0
schlagercountdown,Show,NA,NA,NA,NA,0
schlagereinerstadt,Show,NA,NA,NA,NA,0
schlagerimschnee,Show,NA,NA,NA,NA,0
schlagerundmeer,Show,NA,NA,NA,NA,0
secretoflive,weiteres Album,NA,NA,NA,NA,0
senorita,Single,NA,NA,NA,NA,0
sing,Animationsfilm,NA,NA,NA,6,0
SK,Sarah Kreuz,2,2,6,2,1
SL,Sarah Lombardi,2,2,8,6,1
smago,Anderes,NA,NA,NA,NA,0
sogewollt,weiteres Album,NA,NA,NA,NA,0
sonybmgmusicentertainment,Plattenvertrag,NA,NA,NA,6,0
SS,Severino Seeger,1,3,12,3,1
starrace,Show,NA,NA,NA,NA,0
straight,weiteres Album,NA,NA,NA,NA,0
sturmderliebe,Show,NA,NA,NA,NA,0
styleaward,Anderes,NA,NA,NA,NA,0
subsidiumev,Anderes,NA,NA,NA,NA,0
swissmusicaward,Anderes,NA,NA,NA,NA,0
systemgastronomie,Anderes,NA,NA,NA,NA,0
tabaluga,Show,NA,NA,NA,NA,0
taff,Show,NA,NA,NA,NA,0
takeyourchance,Show,NA,NA,NA,NA,0
tatort,Tatort,NA,NA,NA,NA,0
teilvonmir,weiteres Album,NA,NA,NA,NA,0
textilunternehmen,Anderes,NA,NA,NA,NA,0
TG,Thomas Godoj,1,4,5,3,1
thankyoutothefans,Anderes,NA,NA,NA,NA,0
theacoustivalbum,weiteres Album,NA,NA,NA,NA,0
thebestoflauraandmark,weiteres Album,NA,NA,NA,NA,0
thedome,Musikshow,NA,NA,NA,NA,0
therockyhorrorshow,Musical,NA,NA,NA,NA,0
theunited,Band,NA,NA,NA,NA,0
thewinneris,Show,NA,NA,NA,NA,0
tigerentenclub,Fernsehsendung,NA,NA,NA,NA,0
